,Temperature,ccdeg,oxidw,locb,mocb,silw,carbw,mccb,delta_ocn,phosw,mopb,fepb,capb,ANOX,UPLIFT,PG,DEGASS,VEG,EVO,Age
393,284.8937792507962,9980609339569.201,6237880837230.75,2453160052653.3584,1850289587182.3386,6513272434103.201,4928401345016.213,11441673779119.414,-0.9812943172184891,31665435327.86755,7395214021.355331,8615324028.036476,14802316697.458704,0.0010708823482193216,1.0,1.0,1.0,0.9015355745463185,1.0,-294007879.3114742
394,284.9243360240961,9980609339569.201,6237880837230.75,2464207970896.475,1868158657787.354,6561514540171.356,4965359036196.498,11526873576367.855,-0.8781656540953421,31899972928.626087,7466481958.655691,8656591687.8117,14945269262.29883,0.0010978140548679172,1.0,1.0,1.0,0.9055956811464061,1.0,-293992431.4316699
395,284.95187056982695,9980609339569.201,6237880837230.75,2474158633363.625,1885381358323.3892,6605167569043.7705,4998751542114.27,11603919111158.04,-0.7769197386525937,32112199912.313633,7535166312.291027,8696172579.959995,15083050866.58711,0.001124285541216841,1.0,1.0,1.0,0.9092525465819635,1.0,-293976983.5518656
396,284.9909874115224,9980609339569.201,6237880837230.75,2488288928363.5713,1910979516879.31,6667484161079.37,5046339057465.1875,11713823218544.559,-0.6237250995612407,32415163136.241497,7637241603.8186455,8754655117.11988,15287836135.034481,0.0011645796722958616,1.0,1.0,1.0,0.9144454257043458,1.0,-293953167.8979801
397,285.0239907422565,9980609339569.201,6237880837230.75,2500199200008.623,1934358301979.4446,6720323271053.434,5086613810145.278,11806937081198.71,-0.4754550390292807,32672049891.185925,7730455636.3538685,8807710790.330639,15474866415.83555,0.0012023921243493184,1.0,1.0,1.0,0.9188224469178253,1.0,-293929352.2440946
398,285.05167045972684,9980609339569.201,6237880837230.75,2510176385750.0,1955241229825.5261,6764816056844.414,5120473142794.119,11885289199638.533,-0.33252445692839283,32888359502.871155,7813709007.577018,8854819420.744701,15641929838.604204,0.0012370019641574862,1.0,1.0,1.0,0.9224890596486085,1.0,-293905536.5902091
399,285.09142220912713,9980609339569.201,6237880837230.75,2524473325090.8545,1987604258700.906,6828967818038.759,5169206448636.335,11998174266675.094,-0.07981128151406944,33200244728.895485,7942711713.325879,8927307199.445625,15900834069.607244,0.001292229316443677,1.0,1.0,1.0,0.9277431805156796,1.0,-293860874.37468046
400,285.11221462521445,9980609339569.201,6237880837230.75,2531926203735.272,2005298500658.3809,6862618739965.422,5194728560279.156,12057347300244.578,0.08721790322210189,33363844686.178497,8013233409.685974,8966677311.136293,16042388005.267048,0.0013232598446793965,1.0,1.0,1.0,0.930482111154735,1.0,-293828984.1260214
401,285.1235013635665,9980609339569.201,6237880837230.75,2535959690241.285,2015078343409.938,6880901872946.733,5208583285754.681,12089485158701.414,0.1930599823911967,33452731397.254665,8052208715.666407,8988359275.771933,16120626747.279507,0.0013406687966336368,1.0,1.0,1.0,0.9319644162210882,1.0,-293807497.4916939
402,285.13100883756283,9980609339569.201,6237880837230.75,2538635488462.5396,2021714157555.905,6893064028283.523,5217794961870.1455,12110858990153.668,0.2718562579603768,33511859884.07308,8078652998.840933,9003039361.445639,16173713260.447233,0.001352586756148789,1.0,1.0,1.0,0.9329477712550003,1.0,-293790740.0602272
